msd_track_id,genre_label,album_index,set,msd_artist_id,image_url
TRABKJU128F422A7FE,Metal,0,train,ARBD4QW1187FB42153,http://artwork-cdn.7static.com/static/img/sleeveart/00/008/487/0000848744_200.jpg
TRBLDQQ128F92E58B4,Rock,1,train,AR3RK011187FB3CE3B,http://artwork-cdn.7static.com/static/img/sleeveart/00/004/765/0000476534_200.jpg
TRDMMDE128F14A9052,Rock,2,train,ARJVTRE1187B9959C0,http://artwork-cdn.7static.com/static/img/sleeveart/00/000/623/0000062345_200.jpg
TRJOPZB128F4250E02,Rock,4,train,AR62BB21187B9AC83D,http://artwork-cdn.7static.com/static/img/sleeveart/00/001/447/0000144785_200.jpg
TRJKBVL128F935567B,Rock,5,train,AR7GVOV1187B9B5FF1,http://artwork-cdn.7static.com/static/img/sleeveart/00/005/205/0000520513_200.jpg
TRUSOQD128F92CFEA5,Rock,7,train,ARZHQDD1187FB5B871,http://artwork-cdn.7static.com/static/img/sleeveart/00/003/188/0000318842_200.jpg
TRKCEWE128F425BF56,Rock,9,train,ARRSEGJ1187B9A67D9,http://artwork-cdn.7static.com/static/img/sleeveart/00/002/780/0000278069_200.jpg
TRRCUNU128F932C084,Reggae,10,train,ARDI8UK1187FB369FB,http://artwork-cdn.7static.com/static/img/sleeveart/00/003/642/0000364214_200.jpg
TRRNTLC128F93366F6,Rock,11,train,ARTNHBW1187B9A5482,http://artwork-cdn.7static.com/static/img/sleeveart/00/005/495/0000549518_200.jpg
TRSEIMP12903CE2A6B,Reggae,12,train,ARP06GY1187B98B0F0,http://artwork-cdn.7static.com/static/img/sleeveart/00/007/737/0000773743_200.jpg
TRHDZSB128F429112F,Metal,13,train,ARZN98V1187B990D1D,http://artwork-cdn.7static.com/static/img/sleeveart/00/008/487/0000848765_200.jpg
TRYDOAY128E0794924,Rock,14,train,ARKL75U1187FB5B8B6,http://artwork-cdn.7static.com/static/img/sleeveart/00/000/163/0000016309_200.jpg
TRAQKWU128F4251685,Rock,16,train,ARYMCJZ1187FB513DA,http://artwork-cdn.7static.com/static/img/sleeveart/00/002/433/0000243393_200.jpg
TRLCUUF128E078F97F,Reggae,17,train,ARHMCWM1187FB37D67,http://artwork-cdn.7static.com/static/img/sleeveart/00/000/145/0000014566_200.jpg
TREXUGD128F1460F54,Rock,18,train,AR00RBU1187B9B3F1F,http://artwork-cdn.7static.com/static/img/sleeveart/00/000/258/0000025870_200.jpg
TRCQSDA128F92F5275,Reggae,19,train,ARJYO8S1187B9A9209,http://artwork-cdn.7static.com/static/img/sleeveart/00/006/116/0000611664_200.jpg
TRAKPET128F92E3F65,Rock,20,train,AR61QQL1187FB3A48E,http://artwork-cdn.7static.com/static/img/sleeveart/00/010/137/0001013701_200.jpg
TREWKPU128F92E9B1C,Jazz,22,train,ARF5FI71187FB4B9AE,http://artwork-cdn.7static.com/static/img/sleeveart/00/005/251/0000525161_200.jpg
TRJEAXC128F4252190,Latin,23,train,ARLAWDD1187FB48367,http://artwork-cdn.7static.com/static/img/sleeveart/00/002/755/0000275516_200.jpg
TRMSKJC128F1488E63,Jazz,26,train,ARM4UBY1187B9979D2,http://artwork-cdn.7static.com/static/img/sleeveart/00/000/454/0000045449_200.jpg
TRXSWWU128F149BF8B,Rock,27,train,ARROQSO1187B9AEB80,http://artwork-cdn.7static.com/static/img/sleeveart/00/005/133/0000513391_200.jpg
TRICGBR12903CFA250,Folk,31,train,ARCID1N1187FB51DA0,http://artwork-cdn.7static.com/static/img/sleeveart/00/007/374/0000737466_200.jpg
TRLGCCL128F1498E94,Jazz,32,train,AR9ST641187B99B4DE,http://artwork-cdn.7static.com/static/img/sleeveart/00/000/554/0000055444_200.jpg
TRXISWJ128F42ACCF9,Electronic,33,train,ARNF13I1187FB562A5,http://artwork-cdn.7static.com/static/img/sleeveart/00/001/230/0000123006_200.jpg
TRCGJSX128F930A8F8,Rock,34,train,ARM0BK21187FB36C70,http://artwork-cdn.7static.com/static/img/sleeveart/00/004/916/0000491678_200.jpg
TRYBHIG128F4231285,Pop,37,train,AR7LHPM1187FB46F5E,http://artwork-cdn.7static.com/static/img/sleeveart/00/002/128/0000212839_200.jpg
TRZSSHL128F92EEFAE,Pop,38,train,AR5XJZ01187FB4F910,http://artwork-cdn.7static.com/static/img/sleeveart/00/003/345/0000334557_200.jpg
TRODQAH128E0780CAF,Rock,40,train,ARJ7KF01187B98D717,http://artwork-cdn.7static.com/static/img/sleeveart/00/000/003/0000000310_200.jpg
TRZXVFN128F428BE04,Jazz,43,train,ARSMQR01187FB38EB2,http://artwork-cdn.7static.com/static/img/sleeveart/00/002/976/0000297622_200.jpg
TRQAHOZ12903CFFA2C,Rock,44,train,ARCA3NH1187B9AE11B,http://artwork-cdn.7static.com/static/img/sleeveart/00/006/941/0000694124_200.jpg
TRKZUVZ128F4235607,Latin,46,train,ARLDX1T1187B991E69,http://artwork-cdn.7static.com/static/img/sleeveart/00/002/397/0000239737_200.jpg
TRQVZZU128F146EED9,Pop,48,train,AROVU6Z1187B9AE74E,http://artwork-cdn.7static.com/static/img/sleeveart/00/000/343/0000034373_200.jpg
TRFMIDT128F92CAA43,Rock,49,train,ARAW7QF1187B99DF45,http://artwork-cdn.7static.com/static/img/sleeveart/00/003/723/0000372341_200.jpg
TRSDVLR12903CB9218,Rock,51,train,ARQE6FL1187B99DA64,http://artwork-cdn.7static.com/static/img/sleeveart/00/005/812/0000581264_200.jpg
TRFTEHA128F428B271,RnB,52,train,ARATZBN1187B98D0DF,http://artwork-cdn.7static.com/static/img/sleeveart/00/002/399/0000239972_200.jpg
TRIPJID128F147DC8D,Pop,53,train,ARPNVYF1187FB579B5,http://artwork-cdn.7static.com/static/img/sleeveart/00/000/398/0000039847_200.jpg
TRFHDFX12903CDF9A4,Electronic,55,train,ARU9OUL1187FB39BC1,http://artwork-cdn.7static.com/static/img/sleeveart/00/006/825/0000682508_200.jpg
TRSXFKZ128F423EE55,Rock,56,train,ARUPWVD1187FB4DA36,http://artwork-cdn.7static.com/static/img/sleeveart/00/001/904/0000190443_200.jpg
TRHUEAH128F93261CC,Rock,58,train,AR3IHGQ1187FB4C745,http://artwork-cdn.7static.com/static/img/sleeveart/00/005/466/0000546695_200.jpg
TRHBXGL128F14ADA16,Rock,59,train,ARO47641187FB4CD7F,http://artwork-cdn.7static.com/static/img/sleeveart/00/000/407/0000040725_200.jpg
TRXVQTZ128F424D666,Pop,60,train,AR3AL881187FB44B52,http://artwork-cdn.7static.com/static/img/sleeveart/00/035/610/0003561050_200.jpg
TRRJIEF128F42BA606,Electronic,61,train,ARAOQ5T1187FB435AB,http://artwork-cdn.7static.com/static/img/sleeveart/00/003/122/0000312206_200.jpg
TRTTJOC128F4230B13,Rock,63,train,ARBFQ7L1187B9ACD48,http://artwork-cdn.7static.com/static/img/sleeveart/00/001/289/0000128966_200.jpg
TRBDWVY128F149B050,Jazz,64,train,AR35KDG1187FB5704D,http://artwork-cdn.7static.com/static/img/sleeveart/00/000/562/0000056295_200.jpg
TRPSGHI128E0793B94,Rock,65,train,AR5N8VN1187FB37A4E,http://artwork-cdn.7static.com/static/img/sleeveart/00/000/160/0000016037_200.jpg
TRJBPJQ128F92F6B33,Electronic,66,train,ARG92Q41187FB36E1E,http://artwork-cdn.7static.com/static/img/sleeveart/00/006/122/0000612222_200.jpg
TRWPAMD128E0785D6D,Rock,69,train,ARHUC691187B9AD27F,http://artwork-cdn.7static.com/static/img/sleeveart/00/000/083/0000008336_200.jpg
TRNUSNC128F429D6B2,Rock,70,train,AR0L04E1187B9AE90C,http://artwork-cdn.7static.com/static/img/sleeveart/00/003/023/0000302312_200.jpg
TREIKCM128F422A310,Pop,71,train,AR1QQ3C1187B98C44B,http://artwork-cdn.7static.com/static/img/sleeveart/00/001/255/0000125517_200.jpg
TRFTDDL128F9336C76,Reggae,73,train,AR33XTN1187B98E452,http://artwork-cdn.7static.com/static/img/sleeveart/00/004/201/0000420165_200.jpg
TREKUXM128F931FBC0,Reggae,75,train,ART7MEI1187B99B8C6,http://artwork-cdn.7static.com/static/img/sleeveart/00/029/429/0002942929_200.jpg
TRKXAWE128F93516C5,Rap,76,train,AROU5KE1187B9B653C,http://artwork-cdn.7static.com/static/img/sleeveart/00/006/480/0000648042_200.jpg
TRXNEIB128F423A415,RnB,77,train,AR4OH581187B9B7157,http://artwork-cdn.7static.com/static/img/sleeveart/00/001/347/0000134731_200.jpg
