image_url,image_location,genre_label,set
http://artwork-cdn.7static.com/static/img/sleeveart/00/008/487/0000848744_200.jpg,data/images_msd/0000848744_200.jpg,Metal,train
http://artwork-cdn.7static.com/static/img/sleeveart/00/004/765/0000476534_200.jpg,data/images_msd/0000476534_200.jpg,Rock,train
http://artwork-cdn.7static.com/static/img/sleeveart/00/000/623/0000062345_200.jpg,data/images_msd/0000062345_200.jpg,Rock,train
http://artwork-cdn.7static.com/static/img/sleeveart/00/001/447/0000144785_200.jpg,data/images_msd/0000144785_200.jpg,Rock,train
http://artwork-cdn.7static.com/static/img/sleeveart/00/005/205/0000520513_200.jpg,data/images_msd/0000520513_200.jpg,Rock,train
http://artwork-cdn.7static.com/static/img/sleeveart/00/003/188/0000318842_200.jpg,data/images_msd/0000318842_200.jpg,Rock,train
http://artwork-cdn.7static.com/static/img/sleeveart/00/002/780/0000278069_200.jpg,data/images_msd/0000278069_200.jpg,Rock,train
http://artwork-cdn.7static.com/static/img/sleeveart/00/003/642/0000364214_200.jpg,data/images_msd/0000364214_200.jpg,Reggae,train
http://artwork-cdn.7static.com/static/img/sleeveart/00/005/495/0000549518_200.jpg,data/images_msd/0000549518_200.jpg,Rock,train
http://artwork-cdn.7static.com/static/img/sleeveart/00/007/737/0000773743_200.jpg,data/images_msd/0000773743_200.jpg,Reggae,train
http://artwork-cdn.7static.com/static/img/sleeveart/00/008/487/0000848765_200.jpg,data/images_msd/0000848765_200.jpg,Metal,train
http://artwork-cdn.7static.com/static/img/sleeveart/00/000/163/0000016309_200.jpg,data/images_msd/0000016309_200.jpg,Rock,train
http://artwork-cdn.7static.com/static/img/sleeveart/00/002/433/0000243393_200.jpg,data/images_msd/0000243393_200.jpg,Rock,train
http://artwork-cdn.7static.com/static/img/sleeveart/00/000/145/0000014566_200.jpg,data/images_msd/0000014566_200.jpg,Reggae,train
http://artwork-cdn.7static.com/static/img/sleeveart/00/000/258/0000025870_200.jpg,data/images_msd/0000025870_200.jpg,Rock,train
http://artwork-cdn.7static.com/static/img/sleeveart/00/006/116/0000611664_200.jpg,data/images_msd/0000611664_200.jpg,Reggae,train
http://artwork-cdn.7static.com/static/img/sleeveart/00/010/137/0001013701_200.jpg,data/images_msd/0001013701_200.jpg,Rock,train
http://artwork-cdn.7static.com/static/img/sleeveart/00/005/251/0000525161_200.jpg,data/images_msd/0000525161_200.jpg,Jazz,train
http://artwork-cdn.7static.com/static/img/sleeveart/00/002/755/0000275516_200.jpg,data/images_msd/0000275516_200.jpg,Latin,train
http://artwork-cdn.7static.com/static/img/sleeveart/00/000/454/0000045449_200.jpg,data/images_msd/0000045449_200.jpg,Jazz,train
http://artwork-cdn.7static.com/static/img/sleeveart/00/005/133/0000513391_200.jpg,data/images_msd/0000513391_200.jpg,Rock,train
http://artwork-cdn.7static.com/static/img/sleeveart/00/007/374/0000737466_200.jpg,data/images_msd/0000737466_200.jpg,Folk,train
http://artwork-cdn.7static.com/static/img/sleeveart/00/000/554/0000055444_200.jpg,data/images_msd/0000055444_200.jpg,Jazz,train
http://artwork-cdn.7static.com/static/img/sleeveart/00/001/230/0000123006_200.jpg,data/images_msd/0000123006_200.jpg,Electronic,train
http://artwork-cdn.7static.com/static/img/sleeveart/00/004/916/0000491678_200.jpg,data/images_msd/0000491678_200.jpg,Rock,train
http://artwork-cdn.7static.com/static/img/sleeveart/00/002/128/0000212839_200.jpg,data/images_msd/0000212839_200.jpg,Pop,train
http://artwork-cdn.7static.com/static/img/sleeveart/00/003/345/0000334557_200.jpg,data/images_msd/0000334557_200.jpg,Pop,train
http://artwork-cdn.7static.com/static/img/sleeveart/00/000/003/0000000310_200.jpg,data/images_msd/0000000310_200.jpg,Rock,train
http://artwork-cdn.7static.com/static/img/sleeveart/00/002/976/0000297622_200.jpg,data/images_msd/0000297622_200.jpg,Jazz,train
http://artwork-cdn.7static.com/static/img/sleeveart/00/006/941/0000694124_200.jpg,data/images_msd/0000694124_200.jpg,Rock,train
http://artwork-cdn.7static.com/static/img/sleeveart/00/002/397/0000239737_200.jpg,data/images_msd/0000239737_200.jpg,Latin,train
http://artwork-cdn.7static.com/static/img/sleeveart/00/000/343/0000034373_200.jpg,data/images_msd/0000034373_200.jpg,Pop,train
http://artwork-cdn.7static.com/static/img/sleeveart/00/003/723/0000372341_200.jpg,data/images_msd/0000372341_200.jpg,Rock,train
http://artwork-cdn.7static.com/static/img/sleeveart/00/005/812/0000581264_200.jpg,data/images_msd/0000581264_200.jpg,Rock,train
http://artwork-cdn.7static.com/static/img/sleeveart/00/002/399/0000239972_200.jpg,data/images_msd/0000239972_200.jpg,RnB,train
http://artwork-cdn.7static.com/static/img/sleeveart/00/000/398/0000039847_200.jpg,data/images_msd/0000039847_200.jpg,Pop,train
http://artwork-cdn.7static.com/static/img/sleeveart/00/006/825/0000682508_200.jpg,data/images_msd/0000682508_200.jpg,Electronic,train
http://artwork-cdn.7static.com/static/img/sleeveart/00/001/904/0000190443_200.jpg,data/images_msd/0000190443_200.jpg,Rock,train
http://artwork-cdn.7static.com/static/img/sleeveart/00/005/466/0000546695_200.jpg,data/images_msd/0000546695_200.jpg,Rock,train
http://artwork-cdn.7static.com/static/img/sleeveart/00/000/407/0000040725_200.jpg,data/images_msd/0000040725_200.jpg,Rock,train
http://artwork-cdn.7static.com/static/img/sleeveart/00/035/610/0003561050_200.jpg,data/images_msd/0003561050_200.jpg,Pop,train
http://artwork-cdn.7static.com/static/img/sleeveart/00/003/122/0000312206_200.jpg,data/images_msd/0000312206_200.jpg,Electronic,train
http://artwork-cdn.7static.com/static/img/sleeveart/00/001/289/0000128966_200.jpg,data/images_msd/0000128966_200.jpg,Rock,train
http://artwork-cdn.7static.com/static/img/sleeveart/00/000/562/0000056295_200.jpg,data/images_msd/0000056295_200.jpg,Jazz,train
http://artwork-cdn.7static.com/static/img/sleeveart/00/000/160/0000016037_200.jpg,data/images_msd/0000016037_200.jpg,Rock,train
http://artwork-cdn.7static.com/static/img/sleeveart/00/006/122/0000612222_200.jpg,data/images_msd/0000612222_200.jpg,Electronic,train
http://artwork-cdn.7static.com/static/img/sleeveart/00/006/122/0000612222_200.jpg,data/images_msd/0000612222_200.jpg,Pop,train
http://artwork-cdn.7static.com/static/img/sleeveart/00/006/122/0000612222_200.jpg,data/images_msd/0000612222_200.jpg,Electronic,test
http://artwork-cdn.7static.com/static/img/sleeveart/00/000/083/0000008336_200.jpg,data/images_msd/0000008336_200.jpg,Rock,train
http://artwork-cdn.7static.com/static/img/sleeveart/00/003/023/0000302312_200.jpg,data/images_msd/0000302312_200.jpg,Rock,train
http://artwork-cdn.7static.com/static/img/sleeveart/00/001/255/0000125517_200.jpg,data/images_msd/0000125517_200.jpg,Pop,train
